"v_spot_index","alsfc_ctprvn_nm","alsfc_signgu_nm","alsfc_nm","alsfc_rprsntv_tel_no","alsfc_addr","alsfc_detail_addr","alsfc_main_item_nm","alsfc_lo","alsfc_la"
654,서울,관악구,에이블키즈,"02-6956-0034",서울특별시 관악구 남부순환로218길 27,관전G타워 지하1층(봉천동),기타종목,"126.9504891","37.4800389"
655,서울,금천구,열매점핑허브다이어트,"02-7141-6481",서울특별시 금천구 독산로40길 49,"3층(시흥동)",기타종목,"126.9071731","37.4610298"
656,서울,구로구,한체대국일태권도,"02-865-6205",서울특별시 구로구 구로동로40가길 27-3,"2층(구로동)",태권도,"126.8843387","37.4953021"
657,서울,관악구,옳은필라테스,"",서울특별시 관악구 양녕로 30,청운빌딩 6층(봉천동),필라테스,"126.94695","37.4846139"
658,서울,관악구,용인대 강 태권도,"02-859-0099",서울특별시 관악구 난우길 35,"4층(신림동)",태권도,"126.9176494","37.4758465"
659,서울,금천구,용인대 효 태권도,"02-807-0383",서울특별시 금천구 시흥대로68길 58,"1층 용인대 효 태권도(시흥동)",태권도,"126.9024575","37.4574204"
660,서울,금천구,위너스스포츠센터,"02-891-2747",서울특별시 금천구 시흥대로 296,볼링장 1층(독산동),볼링,"126.899285","37.4596887"
661,서울,관악구,점핑 다이어트,"",서울특별시 관악구 신림로17길 53,지하1층 점핑다이어트(신림동),댄스(줌바 등),"126.9364205","37.4683607"
662,서울,관악구,점핑 다이어트 조원점,"",서울특별시 관악구 조원중앙로 50,"3층 나호(신림동)",기타종목,"126.9076337","37.4834854"
663,서울,관악구,제일아이캔태권도장,"02-6081-8045",서울특별시 관악구 신림로 129,"3층 제일아이캔태권도장(신림동)",태권도,"126.9349431","37.4708683"
664,서울,금천구,하늘체육관,"02-806-7106",서울특별시 금천구 금하로24길 45,"3층 하늘체육관(시흥동)",태권도,"126.9085716","37.4489665"
665,서울,금천구,한누리고려대중태권도장,"02-804-7772",서울특별시 금천구 탑골로 30,"2,3층(시흥동)",태권도,"126.9123909","37.4517693"
666,서울,구로구,해뜰탁구장,"02-4301-7007",서울특별시 구로구 경인로47길 45,B1(고척동),탁구,"126.8655821","37.5010797"
667,서울,구로구,행복한백호태권도,"",서울특별시 구로구 고척로21나길 42,"2층(개봉동)",태권도,"126.8433725","37.5024473"
668,서울,구로구,혁짐,"07-0410-18296",서울특별시 구로구 서해안로 2108,"5층(항동)",헬스,"126.8240092","37.4806109"
669,서울,구로구,경희대드림태권도,"02-2685-0010",서울특별시 구로구 부일로15길 40,"2층 경희대드림태권도(궁동)",태권도,"126.8330619","37.4946991"
670,서울,구로구,리커버리휘트니스,"02-2684-1456",서울특별시 구로구 중앙로14길 15-1,목양교회건물 5층(고척동),헬스,"126.8617167","37.5070291"
671,서울,동작구,정진MBA태권도장,"02-822-7053",서울특별시 동작구 양녕로26길 27,판매시설동 2층(상도동),태권도,"126.9442773","37.4973937"
672,서울,동작구,요가블리스&필라테스 숭실대점,"02-814-1488",서울특별시 동작구 상도로 379,"3층 요가블리스앤필라테스 숭실대점(상도동)",필라테스,"126.9549874","37.4952765"
673,서울,관악구,왕호태권도,"02-877-1245",서울특별시 관악구 인헌6길 16,농협2층 왕호태권도(봉천동),태권도,"126.9660221","37.4741092"
674,서울,동작구,상도스포츠클럽,"02-826-2500",서울특별시 동작구 성대로2길 11,"1층 상도스포츠클럽(상도동)",헬스,"126.9313793","37.4991123"
675,서울,관악구,SRC스포츠센터,"02-871-8232",서울시 관악구 보라매로 44,"2층",수영,"126.9274006","37.4931756"
676,서울,동작구,(주)스포니스 신대방점,"02-2135-4770",서울특별시 동작구 여의대방로22길 132,동화빌딩 3층 스포니스 신대방점(신대방동),헬스,"126.927179","37.4981612"
677,서울,동작구,상도태권도 신상도점,"02-826-1570",서울특별시 동작구 장승배기로 7,"3층 상도태권도(상도동)",태권도,"126.9434217","37.499329"
678,서울,관악구,사회복지법인에스알씨스포츠센터,"02-871-8232",서울특별시 관악구 보라매로 44,"2층 스포츠센터(봉천동)",수영,"126.9274006","37.4931756"
679,서울,동작구,보라매 쉐르빌 탁구장,"",서울특별시 동작구 보라매로5길 43,"지하 1층 쉐르빌 탁구장(신대방동, 보라매삼성쉐르빌)",탁구,"126.9234164","37.4914777"
680,서울,동작구,동작아동발달센터,"02-6398-5999",서울특별시 동작구 보라매로 89,"2층,3층 동작아동발달센터(신대방동)",기타종목,"126.9276576","37.4973748"
681,서울,동작구,더리핏,"02-2088-0787",서울특별시 동작구 상도로 360,지하1층(상도동),기타종목,"126.9530498","37.4965065"
682,서울,관악구,대우태권도,"02-888-4777",서울특별시 관악구 관악로30길 27,"관악푸르지오 상가 2층 206호(봉천동, 관악푸르지오)",태권도,"126.9608926","37.487304"
683,서울,동작구,예스휘트니스센터,"02-3280-3030",서울특별시 동작구 국사봉1길 32,"3층(상도동)",헬스,"126.9303664","37.498814"
684,서울,관악구,경희대 석사 현대 태권도,"02-877-9001",서울특별시 관악구 은천로 93,"벽산블루밍아파트 101동 상가 412,413호(봉천동, 벽산블루밍아파트)",태권도,"126.945049","37.4895169"
685,서울,동작구,"3949당구장","",서울특별시 동작구 보라매로5가길 16,"지하1층 3호(신대방동, 보라매아카데미타워)",당구,"126.924075","37.4913263"
686,서울,금천구,화랑체육관,"02-805-6464",서울특별시 금천구 시흥대로20길 13,"2층 화랑체육관(시흥동)",태권도,"126.9041803","37.4410247"
687,서울,금천구,한국체대 정진태권도,"02-805-8050",서울특별시 금천구 벚꽃로 73,"상가 208호(독산동, 금천현대아파트)",태권도,"126.8902351","37.4625026"
688,서울,금천구,팩토리짐,"02-2098-9679",서울특별시 금천구 두산로 70,A동 T-B201호(독산동),헬스,"126.8956207","37.4689627"
689,서울,금천구,코끼리아동청소년발달센터,"02-893-2808",서울특별시 금천구 시흥대로 399,"5층 515호 코끼리아동청소년발달센터(독산동)",기타종목,"126.8970019","37.4693592"
690,서울,노원구,수락주짓수파라에스트라서울,"",서울특별시 노원구 동일로 1622,"2층 파라에스트라서울(상계동)",주짓수,"127.0559868","37.6729938"
691,서울,노원구,빌리버짐,"02-979-2999",서울특별시 노원구 동일로 1308,정안프라자 B1 빌리버짐(중계동),헬스,"127.064184","37.6459749"
692,서울,노원구,스마일재활운동센터,"02-6339-1633",서울특별시 노원구 한글비석로 444,"4층 410호스마일재활운동센터(상계동)",기타종목,"127.06852","37.6636144"
693,서울,노원구,연세월드태권도,"02-933-2323",서울특별시 노원구 누원로 22,"403호(상계동)",태권도,"127.0530611","37.6871033"
694,서울,노원구,용인대한양태권도장,"02-936-7766",서울특별시 노원구 동일로242길 51,대산빌딩 3층 용인대한양태권도장(상계동),태권도,"127.0582372","37.675005"
695,서울,노원구,임팩트탁구클럽,"",서울특별시 노원구 상계로23길 4,덕원빌딩 지하1층(상계동),탁구,"127.0692843","37.6585595"
696,서울,서대문구,빛요가,"02-379-1919",서울특별시 서대문구 통일로 463,"3층 빛요가(홍제동)",요가,"126.9427531","37.589627"
697,서울,서대문구,경희대백련태권도장,"02-3217-8731",서울특별시 서대문구 연희로41길 71,"2층(홍은동)",태권도,"126.9348088","37.5917437"
698,서울,서대문구,커브스 홍제클럽,"02-393-1330",서울특별시 서대문구 통일로39가길 30,"5층(홍제동)",헬스,"126.9428594","37.5893118"
